    xi	    yi	  phii	 delta	    xf	    yf	  phif	sucesso	passos	 err_x	 err_y	err_phi	    EE	    ET
12.8699	58.9140	-26.7102	1.0000	47.5351	88.4968	72.7169	1.0000	52.0000	0.0493	0.1150	0.1920	20.9071	1.1411
82.3055	0.7895	-74.8888	1.0000	83.8418	-0.4165	-25.7035	0.0000	2.0000	0.6768	1.0042	1.2856	156.8950	1.0240
13.7290	37.8162	82.8261	1.0000	47.5399	86.7276	70.3969	1.0000	60.0000	0.0492	0.1327	0.2178	23.8011	1.0091
67.2027	19.0904	19.6742	1.0000	52.3917	44.4561	118.3344	1.0000	31.0000	0.0478	0.5554	0.3148	62.3994	1.0554
79.8288	80.3524	222.3454	1.0000	52.4743	92.6150	118.3870	1.0000	35.0000	0.0495	0.0739	0.3154	29.4360	1.1675
46.1923	86.2711	161.5138	1.0000	45.0686	88.8642	89.4079	1.0000	3.0000	0.0986	0.1114	0.0066	12.1933	1.0615
0.0284	66.5081	221.4481	1.0000	-0.9315	66.2278	196.2764	0.0000	1.0000	1.0186	0.3377	1.1808	122.5938	1.0000
67.2227	44.3793	17.3177	1.0000	52.1722	70.6337	117.6420	1.0000	32.0000	0.0434	0.2937	0.3071	40.3879	1.0574
8.6204	20.0119	2.1453	1.0000	47.5183	51.8288	70.1703	1.0000	55.0000	0.0496	0.4817	0.2203	52.1521	1.0945
23.1946	40.6175	38.5469	1.0000	47.5336	76.5368	70.7739	1.0000	44.0000	0.0493	0.2346	0.2136	30.4343	1.0141
62.5665	5.1841	174.7517	1.0000	52.2109	15.2924	117.8588	1.0000	15.0000	0.0442	0.8471	0.3095	89.1985	1.0365
57.2961	12.7572	42.6413	1.0000	52.1698	25.1234	117.6961	1.0000	14.0000	0.0434	0.7488	0.3077	79.8642	1.0458
88.3694	51.0046	-3.4559	1.0000	52.3519	78.2669	118.5288	1.0000	53.0000	0.0470	0.2173	0.3170	35.9409	1.1733
3.4244	85.0232	170.6758	1.0000	7.4757	95.5664	45.6009	1.0000	13.0000	0.8505	0.0443	0.4933	61.6381	1.1510
46.8562	49.6934	50.4233	1.0000	47.7828	51.4650	63.9622	1.0000	2.0000	0.0443	0.4854	0.2893	55.1229	1.0004
66.8476	67.6629	61.5332	1.0000	67.0037	69.6371	93.5148	1.0000	2.0000	0.3401	0.3036	0.0391	34.9769	1.0099
45.7720	94.6655	1.1589	1.0000	47.5882	95.4612	31.1589	1.0000	2.0000	0.0482	0.0454	0.6538	59.0652	1.0086
45.6914	72.9710	76.4207	1.0000	47.7765	80.6916	73.9192	1.0000	8.0000	0.0445	0.1931	0.1787	25.2260	1.0004
